Time,force Average
0,5.591008982
0.005,5.495584469
0.01,5.710289624
0.015,6.137531195
0.02,6.584291416
0.025,6.939964602
0.03,7.115632456
0.035,7.26961292
0.04,7.445280774
0.045,7.564561416
0.05,7.686010796
0.055,7.859509911
0.06,8.085058761
0.065,8.325788783
0.07,8.527481504
0.075,8.800742611
0.08,9.089184889
0.085,9.418833209
0.09,9.707275487
0.095,10.00005525
0.1,10.26897887
0.105,10.57260232
0.11,10.89574443
0.115,11.1451494
0.12,11.42708546
0.125,11.66998422
0.13,11.95625776
0.135,12.23602509
0.14,12.5483235
0.145,12.81290965
0.15,13.09267697
0.155,13.34641942
0.16,13.6457054
0.165,13.94932885
0.17,14.28548338
0.175,14.59127558
0.18,14.85586173
0.185,15.13562905
0.19,15.41322763
0.195,15.75805712
0.2,16.02481201
0.205,16.28289195
0.21,16.54964684
0.215,16.82941416
0.22,17.14821878
0.225,17.50606071
0.23,17.76847812
0.235,18.03523301
0.24,18.28030051
0.245,18.5860927
0.25,18.86369128
0.255,19.18249591
0.26,19.46660071
0.265,19.76371794
0.27,20.02396661
0.275,20.31457763
0.28,20.63988847
0.285,20.97170553
0.29,21.31436628
0.295,21.58328991
0.3,21.90426328
0.305,22.1731869
0.31,22.4572917
0.315,22.77826506
0.32,23.09273221
0.325,23.39418693
0.33,23.6934729
0.335,24.00143383
0.34,24.30288854
0.345,24.6238619
0.35,24.94700401
0.355,25.25713367
0.36,25.53039478
0.365,25.82317453
0.37,26.14631664
0.375,26.45644631
0.38,26.78392589
0.385,27.06586195
0.39,27.38032909
0.395,27.69913372
0.4,28.0157696
0.405,28.31288684
0.41,28.6230165
0.415,28.9071213
0.42,29.22375719
0.425,29.56858668
0.43,29.85269148
0.435,30.19968971
0.44,30.54235046
0.445,30.86983004
0.45,31.18212845
0.455,31.49225812
0.46,31.80238779
0.465,32.13637358
0.47,32.48120307
0.475,32.7609704
0.48,33.04724394
0.485,33.37038604
0.49,33.70003436
0.495,34.02968267
0.5,34.35282478
0.505,34.64777327
0.51,34.97091538
0.515,35.30923865
0.52,35.60852462
0.525,35.97070403
0.53,36.29818361
0.535,36.63000066
0.54,36.93796159
0.545,37.28712856
0.55,37.63195805
0.555,37.98979998
0.56,38.32595451
0.565,38.6425904
0.57,38.94621385
0.575,39.2498373
0.58,39.58599184
0.585,39.96552115
0.59,40.3081819
0.595,40.61180535
0.6,40.99350341
0.605,41.31881425
0.61,41.64629383
0.615,41.96726719
0.62,42.29908425
0.625,42.62873257
0.63,42.98223701
0.635,43.30537912
0.64,43.63068995
0.645,43.9451571
0.65,44.29432407
0.655,44.63481608
0.66,44.98181432
0.665,45.28326903
0.67,45.62809851
0.675,45.95991557
0.68,46.33076993
0.685,46.6799369
0.69,47.0638037
0.695,47.34357102
0.7,47.6992442
0.705,48.03323
0.71,48.38022823
0.715,48.74891385
0.72,49.12410569
0.725,49.47110391
0.73,49.80508971
0.735,50.13907551
0.74,50.46872383
0.745,50.82005954
0.75,51.1692265
0.755,51.52273095
0.76,51.8263544
0.765,52.11262794
0.77,52.41625139
0.775,52.77409332
0.78,53.17531002
0.785,53.55700808
0.79,53.91051252
0.795,54.24449832
0.8,54.57631537
0.805,54.91030117
0.81,55.22693706
0.815,55.61731007
0.82,55.94045217
0.825,56.30046283
0.83,56.61276124
0.835,56.95542199
0.84,57.31326392
0.845,57.64941845
0.85,58.02677903
0.855,58.37811473
0.86,58.71426927
0.865,59.11331723
0.87,59.44947177
0.875,59.82032613
0.88,60.11527462
0.885,60.47094781
0.89,60.84830838
0.895,61.19530661
0.9,61.56182349
0.905,61.88279686
0.91,62.22545761
0.915,62.55076845
0.92,62.9324665
0.925,63.27729599
0.93,63.61778801
0.935,63.97996741
0.94,64.29226582
0.945,64.60239549
0.95,64.97975606
0.955,65.38314151
0.96,65.75833334
0.965,66.09665662
0.97,66.43931737
0.975,66.77113442
0.98,67.11379518
0.985,67.51934936
0.99,67.8728538
0.995,68.20900834
1,68.53431918
