Time,AF Buffalo,AF Roast Garlic,AF Spinach and Feta,AF Spicy Jalapeno,TJ Apple,TJ Roast Garlic,TJ Sweet Italien,TJ Tomato
0,5.823335141,5.62625099,5.747158186,5.602123769,5.665017198,5.655528966,5.685078034,5.67775854
0.005,5.679656186,5.426455915,5.561188822,5.428082469,5.491518083,5.517271858,5.540856894,5.538145971
0.01,5.85640841,5.573930163,5.692126435,5.572574701,5.693481897,5.72248878,5.735501214,5.744989447
0.015,6.270637547,5.969453927,6.076806504,5.951290738,6.115030528,6.156236568,6.151085813,6.16789354
0.02,6.670769881,6.33054896,6.422991457,6.316723249,6.517873786,6.553657978,6.543627561,6.563146211
0.025,7.031864914,6.676191728,6.751555406,6.657486355,6.863787647,6.908788979,6.905806963,6.909602257
0.03,7.173104038,6.800352033,6.890083606,6.754808515,7.024003236,7.046503902,7.079577171,7.090691958
0.035,7.314072068,6.910957718,7.01071971,6.865956385,7.133795644,7.181236809,7.253889563,7.276661322
0.04,7.397568518,6.965447284,7.103433299,6.920445951,7.23409982,7.296179972,7.39323104,7.42413557
0.045,7.474287658,7.012617356,7.189911764,6.980086272,7.314343161,7.400821626,7.48946883,7.543416211
0.05,7.586519898,7.111023886,7.310276775,7.079848263,7.445280774,7.534741255,7.611731488,7.685739704
0.055,7.717186419,7.209701507,7.475643119,7.206177306,7.58109805,7.714475495,7.790381358,7.86167865
0.06,7.922132248,7.415460614,7.71501768,7.383200622,7.779808755,7.977977276,8.059033894,8.111354721
0.065,8.098613379,7.601972163,7.933518128,7.553988814,7.968217951,8.231448639,8.309252149,8.351271466
0.07,8.224400238,7.740771455,8.11704766,7.657546098,8.130331186,8.456997489,8.510402685,8.5773625
0.075,8.385700197,7.900987044,8.303830302,7.789296989,8.312505257,8.696372049,8.715348515,8.817008153
0.08,8.586579641,8.118945307,8.569500822,7.961169549,8.565163344,8.977765926,8.995115838,9.097859845
0.085,8.842761928,8.368621377,8.843846297,8.172892688,8.849810329,9.291690888,9.285455763,9.40419422
0.09,9.050960866,8.60826703,9.117649589,8.385158012,9.119818327,9.582572997,9.584741736,9.714594982
0.095,9.243707538,8.82134563,9.32395088,8.559470404,9.338860959,9.831435791,9.849870073,10.00249507
